code_str,labels
"m = 0
if(m <= 4) {
    c = 2
}
i = 4
if(i == 2) {
    k = 5
}
else if(i > 3) {
    t = 1
}
else if(i >= 1) {
    b = 3
}
j = 1
g = 2
if(g < 3) {
    d = 1
}
else if(g <= 0) {
    u = 3
}
END","[1, 0, 1, 1, 1, 0]"
"w = 3
a = 2
r = 2
if(r <= 4) {
    w = 3
}
else if(r >= 3) {
    c = 2
}
else if(r <= 1) {
    f = 0
}
w = 4
for(int i=0; i<1; i++) {
    i = 0
}
END","[1, 0, 0, 1]"
"q = 0
s = 3
if(s == 1) {
    x = 3
}
else if(s == 3) {
    j = 3
}
else {
    t = 1
}
u = 5
n = 1
t = 2
END","[0, 1]"
"for(int i=0; i<3; i++) {
    v = 5
}
for(int i=0; i<3; i++) {
    w = 1
}
g = 5
if(g > 2) {
    k = 0
}
else {
    u = 4
}
END","[1, 1, 1]"
"h = 3
y = 3
if(y >= 2) {
    q = 0
}
else if(y < 0) {
    n = 3
}
else if(y >= 1) {
    f = 2
}
for(int i=0; i<0; i++) {
    z = 4
}
b = 3
if(b > 3) {
    k = 5
}
else if(b < 3) {
    g = 0
}
else if(b > 4) {
    k = 4
}
b = 2
e = 4
if(e >= 4) {
    p = 2
}
else if(e <= 0) {
    z = 0
}
else if(e < 4) {
    j = 1
}
END","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"for(int i=0; i<1; i++) {
    c = 5
}
t = 2
for(int i=0; i<1; i++) {
    l = 3
}
s = 2
if(s <= 3) {
    i = 4
}
else if(s <= 5) {
    b = 3
}
else if(s > 3) {
    p = 0
}
q = 2
for(int i=0; i<3; i++) {
    z = 3
}
r = 2
END","[1, 1, 1, 1, 0, 1]"
"l = 5
z = 1
z = 3
if(z == 2) {
    a = 4
}
else if(z >= 0) {
    k = 3
}
else if(z < 3) {
    y = 4
}
else {
    c = 0
}
y = 1
y = 5
if(y == 3) {
    j = 0
}
else {
    s = 4
}
END","[0, 1, 0, 0]"
"p = 0
e = 4
for(int i=0; i<0; i++) {
    e = 3
}
f = 2
a = 4
w = 3
z = 5
END",[0]
"p = 0
if(p > 4) {
    a = 0
}
else if(p <= 0) {
    w = 3
}
for(int i=0; i<0; i++) {
    q = 3
}
l = 5
if(l >= 2) {
    m = 3
}
else if(l < 0) {
    z = 1
}
p = 0
if(p > 1) {
    f = 5
}
else {
    u = 5
}
t = 1
for(int i=0; i<0; i++) {
    l = 3
}
END","[0, 1, 0, 1, 0, 0, 0]"
"q = 5
u = 1
v = 4
if(v == 5) {
    y = 5
}
else if(v <= 1) {
    k = 0
}
b = 3
if(b <= 2) {
    e = 2
}
else {
    p = 2
}
y = 5
END","[0, 0, 0]"
"n = 1
if(n >= 1) {
    d = 5
}
else if(n < 2) {
    x = 4
}
else if(n >= 5) {
    f = 4
}
j = 2
if(j <= 2) {
    x = 4
}
else if(j >= 3) {
    l = 3
}
else if(j == 4) {
    p = 1
}
else {
    v = 1
}
r = 2
t = 1
if(t > 1) {
    f = 2
}
else if(t < 2) {
    x = 0
}
else if(t <= 5) {
    r = 5
}
else {
    v = 5
}
END","[1, 1, 0, 1, 0, 0, 0, 1, 1]"
"t = 0
if(t <= 1) {
    s = 4
}
else if(t <= 5) {
    g = 5
}
else if(t <= 1) {
    a = 1
}
m = 2
if(m > 4) {
    f = 0
}
else if(m < 1) {
    r = 1
}
else {
    g = 3
}
k = 4
for(int i=0; i<0; i++) {
    j = 4
}
j = 3
if(j <= 5) {
    o = 0
}
else if(j < 3) {
    i = 0
}
else if(j <= 1) {
    k = 3
}
for(int i=0; i<2; i++) {
    r = 5
}
for(int i=0; i<2; i++) {
    p = 5
}
END","[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
"t = 2
if(t == 3) {
    y = 2
}
else {
    p = 3
}
for(int i=0; i<0; i++) {
    m = 1
}
k = 3
if(k == 5) {
    e = 0
}
y = 1
for(int i=0; i<2; i++) {
    i = 1
}
END","[0, 0, 0, 1]"
"m = 0
f = 2
b = 3
if(b <= 3) {
    t = 5
}
else {
    b = 2
}
for(int i=0; i<2; i++) {
    o = 3
}
a = 0
END","[1, 1]"
"h = 2
e = 1
b = 3
n = 5
n = 3
for(int i=0; i<2; i++) {
    s = 3
}
for(int i=0; i<0; i++) {
    n = 5
}
END","[1, 0]"
"x = 0
if(x <= 4) {
    o = 4
}
else if(x <= 5) {
    r = 5
}
x = 3
w = 1
l = 3
if(l == 2) {
    u = 2
}
else if(l <= 3) {
    l = 0
}
for(int i=0; i<3; i++) {
    i = 5
}
for(int i=0; i<3; i++) {
    p = 4
}
v = 2
if(v == 4) {
    w = 5
}
END","[1, 1, 0, 1, 1, 1, 0]"
"y = 0
e = 1
if(e < 4) {
    a = 5
}
else if(e > 1) {
    g = 1
}
else if(e < 4) {
    w = 4
}
else {
    b = 2
}
l = 1
if(l <= 1) {
    f = 3
}
else {
    e = 4
}
f = 4
END","[1, 0, 1, 1]"
"c = 2
z = 2
a = 0
if(a == 1) {
    i = 5
}
END",[0]
"for(int i=0; i<0; i++) {
    l = 2
}
q = 5
if(q > 0) {
    l = 3
}
else if(q > 1) {
    u = 5
}
else {
    j = 5
}
p = 3
if(p < 5) {
    u = 4
}
a = 5
for(int i=0; i<2; i++) {
    t = 3
}
g = 3
t = 4
if(t >= 2) {
    e = 2
}
else if(t > 0) {
    b = 5
}
else if(t >= 0) {
    g = 3
}
END","[0, 1, 1, 1, 1, 1, 1, 1]"
"x = 3
t = 5
if(t < 1) {
    o = 0
}
else if(t > 2) {
    s = 3
}
else if(t >= 3) {
    t = 3
}
for(int i=0; i<1; i++) {
    l = 4
}
f = 0
if(f < 5) {
    a = 1
}
else if(f == 5) {
    q = 2
}
else if(f == 0) {
    w = 5
}
n = 0
for(int i=0; i<1; i++) {
    m = 3
}
END","[0, 1, 1, 1, 1, 0, 1, 1]"
"n = 1
if(n >= 5) {
    r = 0
}
else if(n < 2) {
    z = 3
}
else if(n <= 4) {
    a = 4
}
else {
    m = 3
}
for(int i=0; i<2; i++) {
    w = 1
}
i = 0
b = 1
for(int i=0; i<2; i++) {
    n = 4
}
y = 1
if(y <= 2) {
    i = 1
}
else if(y > 2) {
    t = 0
}
else {
    m = 1
}
END","[0, 1, 1, 1, 1, 1, 0]"
"p = 5
for(int i=0; i<1; i++) {
    z = 1
}
l = 1
if(l < 0) {
    s = 1
}
else {
    o = 1
}
for(int i=0; i<0; i++) {
    m = 2
}
END","[1, 0, 0]"
"q = 2
v = 0
f = 1
END",[]
"n = 1
if(n == 0) {
    e = 4
}
else {
    e = 5
}
z = 2
l = 1
l = 0
END",[0]
"s = 0
if(s >= 5) {
    f = 2
}
else if(s >= 5) {
    l = 3
}
for(int i=0; i<3; i++) {
    g = 5
}
for(int i=0; i<1; i++) {
    f = 3
}
z = 3
c = 0
END","[0, 0, 1, 1]"
"d = 3
for(int i=0; i<2; i++) {
    g = 4
}
p = 1
v = 1
s = 0
if(s >= 2) {
    p = 0
}
else if(s <= 1) {
    f = 3
}
j = 5
if(j > 3) {
    v = 4
}
else if(j == 0) {
    x = 0
}
END","[1, 0, 1, 1, 0]"
"for(int i=0; i<1; i++) {
    y = 2
}
for(int i=0; i<2; i++) {
    e = 3
}
y = 3
if(y <= 4) {
    j = 2
}
l = 0
if(l > 2) {
    u = 5
}
else {
    c = 4
}
g = 0
v = 2
if(v <= 5) {
    s = 0
}
w = 2
END","[1, 1, 1, 0, 1]"
"s = 1
j = 3
g = 0
f = 2
t = 2
END",[]
"b = 5
if(b <= 0) {
    l = 0
}
else {
    d = 2
}
for(int i=0; i<0; i++) {
    k = 3
}
d = 4
k = 0
t = 4
if(t <= 5) {
    m = 0
}
else if(t > 0) {
    o = 1
}
END","[0, 0, 1, 1]"
"for(int i=0; i<1; i++) {
    p = 0
}
c = 2
for(int i=0; i<2; i++) {
    y = 4
}
for(int i=0; i<2; i++) {
    d = 3
}
p = 4
if(p >= 3) {
    v = 3
}
else if(p <= 4) {
    w = 1
}
else if(p == 5) {
    b = 2
}
END","[1, 1, 1, 1, 1, 0]"
"r = 2
if(r >= 0) {
    x = 0
}
else if(r == 0) {
    g = 0
}
else if(r <= 5) {
    d = 2
}
else {
    g = 5
}
for(int i=0; i<1; i++) {
    f = 5
}
l = 5
END","[1, 0, 1, 1]"
"for(int i=0; i<1; i++) {
    o = 3
}
for(int i=0; i<2; i++) {
    w = 4
}
c = 3
r = 1
z = 1
l = 1
for(int i=0; i<1; i++) {
    l = 3
}
END","[1, 1, 1]"
"u = 5
q = 0
if(q >= 5) {
    v = 0
}
else if(q == 1) {
    v = 4
}
else {
    u = 1
}
v = 5
w = 4
if(w < 0) {
    i = 1
}
else if(w <= 0) {
    l = 1
}
else if(w >= 1) {
    q = 4
}
END","[0, 0, 0, 0, 1]"
"l = 4
f = 1
if(f < 4) {
    h = 2
}
else {
    b = 4
}
w = 5
END",[1]
"for(int i=0; i<2; i++) {
    n = 3
}
for(int i=0; i<1; i++) {
    m = 1
}
for(int i=0; i<0; i++) {
    m = 0
}
END","[1, 1, 0]"
"for(int i=0; i<1; i++) {
    h = 2
}
for(int i=0; i<3; i++) {
    j = 4
}
for(int i=0; i<1; i++) {
    f = 3
}
for(int i=0; i<2; i++) {
    e = 0
}
i = 2
v = 4
if(v > 5) {
    n = 0
}
else if(v < 2) {
    e = 2
}
else {
    q = 5
}
x = 2
END","[1, 1, 1, 1, 0, 0]"
"o = 3
c = 1
if(c > 0) {
    y = 2
}
else if(c >= 1) {
    w = 5
}
for(int i=0; i<3; i++) {
    j = 3
}
w = 5
if(w > 0) {
    s = 0
}
else {
    m = 1
}
for(int i=0; i<0; i++) {
    m = 0
}
for(int i=0; i<1; i++) {
    d = 5
}
for(int i=0; i<3; i++) {
    v = 4
}
END","[1, 1, 1, 1, 0, 1, 1]"
"for(int i=0; i<1; i++) {
    y = 1
}
t = 4
v = 3
for(int i=0; i<2; i++) {
    k = 4
}
END","[1, 1]"
"m = 4
if(m >= 0) {
    u = 2
}
else if(m <= 4) {
    w = 0
}
q = 5
if(q <= 5) {
    k = 4
}
else if(q > 1) {
    u = 1
}
else if(q == 2) {
    q = 0
}
p = 2
if(p == 1) {
    g = 5
}
else if(p > 4) {
    a = 1
}
else if(p < 2) {
    f = 1
}
END","[1, 1, 1, 1, 0, 0, 0, 0]"
"c = 3
if(c == 5) {
    x = 3
}
else if(c <= 1) {
    y = 3
}
else {
    n = 4
}
f = 4
if(f >= 1) {
    x = 4
}
else if(f <= 2) {
    n = 0
}
i = 4
l = 1
n = 3
END","[0, 0, 1, 0]"
"p = 5
if(p < 1) {
    i = 2
}
n = 2
if(n < 2) {
    e = 1
}
else if(n <= 4) {
    g = 1
}
else if(n >= 1) {
    r = 5
}
else {
    m = 2
}
for(int i=0; i<2; i++) {
    w = 4
}
j = 0
if(j == 5) {
    s = 5
}
for(int i=0; i<0; i++) {
    b = 4
}
for(int i=0; i<0; i++) {
    o = 5
}
b = 1
END","[0, 0, 1, 1, 1, 0, 0, 0]"
"q = 4
if(q >= 5) {
    h = 1
}
else {
    i = 5
}
for(int i=0; i<2; i++) {
    b = 2
}
u = 2
if(u > 3) {
    c = 5
}
else if(u >= 2) {
    c = 5
}
else if(u == 3) {
    j = 4
}
END","[0, 1, 0, 1, 0]"
"m = 2
if(m == 0) {
    j = 2
}
else {
    x = 2
}
f = 1
for(int i=0; i<0; i++) {
    c = 0
}
END","[0, 0]"
"z = 0
if(z < 3) {
    c = 4
}
else {
    w = 5
}
for(int i=0; i<1; i++) {
    j = 2
}
for(int i=0; i<2; i++) {
    y = 2
}
q = 0
for(int i=0; i<3; i++) {
    d = 4
}
p = 5
if(p <= 2) {
    a = 3
}
else if(p == 1) {
    h = 2
}
else if(p < 0) {
    i = 1
}
else {
    l = 1
}
b = 1
END","[1, 1, 1, 1, 0, 0, 0]"
"q = 1
if(q < 0) {
    g = 0
}
o = 2
if(o < 1) {
    y = 4
}
else if(o >= 0) {
    g = 4
}
else {
    x = 3
}
j = 1
d = 3
if(d > 4) {
    e = 0
}
else if(d >= 0) {
    p = 1
}
else if(d <= 5) {
    c = 1
}
else {
    f = 1
}
k = 2
END","[0, 0, 1, 0, 1, 1]"
"b = 3
d = 5
if(d <= 0) {
    h = 2
}
else if(d <= 0) {
    z = 2
}
else if(d <= 0) {
    k = 0
}
else {
    n = 0
}
for(int i=0; i<1; i++) {
    w = 1
}
j = 1
t = 0
if(t >= 1) {
    x = 4
}
else if(t > 1) {
    i = 1
}
u = 2
m = 2
if(m < 5) {
    x = 0
}
else if(m > 4) {
    c = 3
}
else if(m <= 2) {
    j = 5
}
END","[0, 0, 0, 1, 0, 0, 1, 0, 1]"
"w = 5
f = 1
v = 4
for(int i=0; i<3; i++) {
    f = 5
}
a = 2
if(a < 0) {
    l = 1
}
else if(a == 4) {
    q = 1
}
else {
    r = 1
}
h = 4
END","[1, 0, 0]"
"o = 5
z = 2
r = 3
if(r == 2) {
    o = 5
}
else {
    d = 5
}
for(int i=0; i<0; i++) {
    e = 2
}
END","[0, 0]"
"k = 2
if(k <= 1) {
    m = 0
}
else {
    y = 3
}
x = 3
if(x >= 4) {
    c = 3
}
else if(x >= 2) {
    n = 1
}
else {
    p = 0
}
v = 3
if(v <= 2) {
    s = 4
}
else if(v <= 0) {
    x = 1
}
else if(v < 4) {
    q = 4
}
else {
    t = 1
}
n = 5
END","[0, 0, 1, 0, 0, 1]"
"d = 0
y = 2
if(y > 4) {
    f = 2
}
s = 3
q = 2
h = 2
u = 5
END",[0]
"o = 2
n = 5
if(n < 1) {
    q = 2
}
z = 0
i = 5
o = 5
END",[0]
"n = 1
if(n >= 4) {
    j = 5
}
else if(n <= 3) {
    c = 4
}
else if(n >= 4) {
    h = 2
}
d = 3
g = 3
r = 4
if(r == 5) {
    m = 2
}
u = 3
END","[0, 1, 0, 0]"
"for(int i=0; i<3; i++) {
    h = 1
}
k = 1
if(k < 4) {
    p = 1
}
else if(k > 5) {
    y = 2
}
else if(k == 0) {
    r = 0
}
u = 4
END","[1, 1, 0, 0]"
"z = 1
j = 4
for(int i=0; i<1; i++) {
    x = 3
}
END",[1]
"t = 3
if(t >= 3) {
    a = 5
}
c = 0
if(c == 3) {
    w = 3
}
else if(c < 2) {
    j = 1
}
l = 1
for(int i=0; i<2; i++) {
    q = 0
}
for(int i=0; i<1; i++) {
    c = 4
}
a = 0
if(a >= 5) {
    p = 1
}
else {
    p = 0
}
l = 5
END","[1, 0, 1, 1, 1, 0]"
"m = 2
e = 0
a = 0
e = 4
if(e >= 1) {
    m = 3
}
else if(e > 0) {
    t = 2
}
q = 1
o = 4
END","[1, 1]"
"for(int i=0; i<0; i++) {
    j = 2
}
l = 4
if(l == 1) {
    p = 1
}
else if(l <= 2) {
    v = 5
}
else if(l == 1) {
    a = 2
}
for(int i=0; i<0; i++) {
    j = 2
}
for(int i=0; i<0; i++) {
    e = 4
}
END","[0, 0, 0, 0, 0, 0]"
"p = 0
l = 2
r = 5
if(r == 0) {
    a = 5
}
o = 3
for(int i=0; i<1; i++) {
    o = 3
}
END","[0, 1]"
"u = 5
for(int i=0; i<0; i++) {
    n = 5
}
e = 5
x = 1
if(x == 4) {
    i = 4
}
else if(x == 4) {
    m = 1
}
else {
    d = 5
}
for(int i=0; i<3; i++) {
    d = 0
}
for(int i=0; i<2; i++) {
    i = 1
}
d = 1
if(d <= 2) {
    m = 1
}
else if(d > 4) {
    g = 4
}
END","[0, 0, 0, 1, 1, 1, 0]"
"r = 4
k = 3
if(k < 0) {
    d = 3
}
else if(k > 4) {
    c = 1
}
else if(k >= 4) {
    v = 0
}
else {
    p = 5
}
t = 2
if(t >= 4) {
    q = 1
}
else if(t >= 5) {
    v = 0
}
else if(t <= 0) {
    f = 3
}
i = 0
if(i <= 2) {
    d = 3
}
else if(i <= 1) {
    h = 3
}
n = 0
r = 1
END","[0, 0, 0, 0, 0, 0, 1, 1]"
"for(int i=0; i<1; i++) {
    j = 1
}
l = 1
if(l <= 4) {
    j = 2
}
else if(l >= 5) {
    s = 3
}
else {
    k = 4
}
f = 5
for(int i=0; i<0; i++) {
    h = 4
}
for(int i=0; i<2; i++) {
    s = 4
}
for(int i=0; i<0; i++) {
    g = 0
}
z = 1
if(z == 1) {
    d = 2
}
else if(z == 1) {
    l = 1
}
END","[1, 1, 0, 0, 1, 0, 1, 1]"
"d = 2
q = 1
f = 1
for(int i=0; i<0; i++) {
    n = 5
}
for(int i=0; i<2; i++) {
    a = 2
}
for(int i=0; i<2; i++) {
    r = 0
}
t = 4
if(t >= 3) {
    x = 2
}
else {
    d = 2
}
END","[0, 1, 1, 1]"
"l = 5
d = 2
q = 1
j = 5
for(int i=0; i<0; i++) {
    q = 3
}
END",[0]
"c = 0
c = 4
for(int i=0; i<3; i++) {
    m = 5
}
for(int i=0; i<3; i++) {
    l = 1
}
for(int i=0; i<3; i++) {
    t = 1
}
END","[1, 1, 1]"
"for(int i=0; i<1; i++) {
    f = 0
}
for(int i=0; i<3; i++) {
    s = 1
}
c = 4
for(int i=0; i<0; i++) {
    s = 2
}
p = 2
if(p >= 3) {
    l = 2
}
else if(p <= 0) {
    n = 1
}
else if(p < 0) {
    m = 4
}
for(int i=0; i<2; i++) {
    w = 5
}
END","[1, 1, 0, 0, 0, 0, 1]"
"d = 4
if(d >= 4) {
    m = 5
}
else if(d == 1) {
    n = 0
}
p = 3
for(int i=0; i<1; i++) {
    a = 1
}
END","[1, 0, 1]"
"k = 0
if(k <= 0) {
    h = 2
}
else if(k >= 0) {
    v = 4
}
else if(k >= 4) {
    r = 3
}
u = 0
r = 0
u = 5
if(u >= 4) {
    n = 5
}
l = 1
END","[1, 1, 0, 1]"
"z = 4
for(int i=0; i<0; i++) {
    h = 1
}
z = 0
j = 0
for(int i=0; i<1; i++) {
    s = 0
}
END","[0, 1]"
"t = 5
if(t < 0) {
    v = 1
}
else if(t == 1) {
    q = 0
}
else if(t <= 4) {
    z = 4
}
else {
    i = 3
}
for(int i=0; i<0; i++) {
    n = 3
}
for(int i=0; i<1; i++) {
    x = 1
}
y = 4
for(int i=0; i<1; i++) {
    p = 3
}
for(int i=0; i<2; i++) {
    r = 1
}
for(int i=0; i<0; i++) {
    o = 4
}
END","[0, 0, 0, 0, 1, 1, 1, 0]"
"k = 5
y = 3
for(int i=0; i<0; i++) {
    e = 2
}
for(int i=0; i<2; i++) {
    r = 1
}
e = 0
o = 5
if(o < 1) {
    a = 5
}
o = 2
END","[0, 1, 0]"
"for(int i=0; i<3; i++) {
    y = 2
}
q = 0
for(int i=0; i<3; i++) {
    c = 0
}
s = 2
END","[1, 1]"
"c = 2
if(c == 4) {
    i = 1
}
else {
    r = 5
}
w = 3
f = 0
END",[0]
"d = 2
x = 0
if(x >= 0) {
    x = 5
}
else if(x == 3) {
    g = 4
}
else {
    v = 4
}
o = 2
if(o == 0) {
    y = 5
}
else if(o > 1) {
    u = 5
}
else if(o <= 1) {
    v = 0
}
else {
    q = 0
}
for(int i=0; i<3; i++) {
    p = 2
}
k = 4
for(int i=0; i<0; i++) {
    g = 2
}
END","[1, 0, 0, 1, 0, 1, 0]"
"j = 0
if(j <= 3) {
    z = 1
}
else if(j > 5) {
    c = 3
}
p = 4
for(int i=0; i<0; i++) {
    s = 4
}
b = 5
for(int i=0; i<0; i++) {
    x = 5
}
n = 0
END","[1, 0, 0, 0]"
"g = 3
if(g < 4) {
    n = 0
}
v = 3
g = 3
END",[1]
"for(int i=0; i<0; i++) {
    g = 0
}
for(int i=0; i<1; i++) {
    r = 5
}
n = 3
for(int i=0; i<2; i++) {
    f = 4
}
for(int i=0; i<2; i++) {
    v = 1
}
END","[0, 1, 1, 1]"
"b = 4
x = 2
if(x == 4) {
    f = 5
}
else if(x <= 0) {
    l = 0
}
else if(x >= 3) {
    c = 5
}
a = 2
if(a <= 1) {
    q = 4
}
else if(a <= 3) {
    b = 2
}
for(int i=0; i<2; i++) {
    w = 0
}
for(int i=0; i<2; i++) {
    o = 1
}
k = 2
g = 4
END","[0, 0, 0, 0, 1, 1, 1]"
"i = 2
o = 0
d = 0
for(int i=0; i<2; i++) {
    j = 0
}
for(int i=0; i<0; i++) {
    v = 3
}
END","[1, 0]"
"o = 5
d = 2
j = 4
x = 2
for(int i=0; i<3; i++) {
    t = 0
}
s = 5
END",[1]
"y = 3
if(y == 0) {
    t = 2
}
else {
    j = 2
}
for(int i=0; i<0; i++) {
    r = 4
}
g = 4
if(g > 4) {
    g = 2
}
else if(g >= 4) {
    d = 4
}
else if(g <= 5) {
    t = 3
}
for(int i=0; i<2; i++) {
    i = 4
}
i = 4
i = 1
y = 5
if(y <= 2) {
    c = 3
}
else if(y < 3) {
    k = 0
}
END","[0, 0, 0, 1, 1, 1, 0, 0]"
"y = 0
if(y <= 0) {
    j = 1
}
else if(y > 5) {
    t = 4
}
else if(y == 5) {
    q = 5
}
else {
    p = 1
}
y = 3
x = 4
if(x < 5) {
    k = 5
}
else if(x >= 5) {
    o = 1
}
f = 2
if(f == 5) {
    e = 1
}
END","[1, 0, 0, 1, 0, 0]"
"i = 0
if(i < 3) {
    w = 1
}
else if(i == 3) {
    u = 3
}
else if(i == 5) {
    e = 3
}
else {
    u = 2
}
l = 3
c = 5
for(int i=0; i<1; i++) {
    n = 4
}
j = 4
if(j > 5) {
    n = 0
}
else if(j <= 4) {
    t = 4
}
w = 5
if(w <= 4) {
    w = 4
}
else if(w >= 3) {
    f = 3
}
else {
    k = 3
}
END","[1, 0, 0, 1, 0, 1, 0, 1]"
"z = 0
r = 2
if(r > 4) {
    r = 2
}
else if(r <= 4) {
    x = 5
}
else if(r >= 1) {
    s = 0
}
else {
    l = 1
}
for(int i=0; i<0; i++) {
    p = 3
}
END","[0, 1, 1, 0]"
"for(int i=0; i<2; i++) {
    p = 1
}
j = 5
v = 2
if(v == 5) {
    a = 2
}
a = 3
for(int i=0; i<2; i++) {
    p = 4
}
END","[1, 0, 1]"
"for(int i=0; i<0; i++) {
    t = 2
}
k = 3
if(k > 4) {
    j = 5
}
for(int i=0; i<0; i++) {
    g = 1
}
for(int i=0; i<1; i++) {
    g = 1
}
for(int i=0; i<1; i++) {
    p = 4
}
for(int i=0; i<2; i++) {
    a = 2
}
for(int i=0; i<1; i++) {
    l = 4
}
END","[0, 0, 0, 1, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    c = 3
}
u = 4
if(u == 0) {
    o = 0
}
else if(u <= 2) {
    s = 2
}
else if(u <= 3) {
    y = 4
}
for(int i=0; i<0; i++) {
    x = 0
}
END","[1, 0, 0, 0, 0]"
"for(int i=0; i<3; i++) {
    t = 4
}
r = 5
if(r > 3) {
    c = 1
}
else if(r <= 5) {
    c = 0
}
else if(r == 0) {
    j = 5
}
else {
    n = 1
}
for(int i=0; i<1; i++) {
    w = 1
}
END","[1, 1, 1, 0, 1]"
"e = 1
k = 0
b = 2
if(b <= 2) {
    t = 3
}
else if(b <= 2) {
    j = 4
}
else {
    z = 0
}
n = 4
if(n > 3) {
    l = 2
}
else if(n == 2) {
    x = 0
}
else {
    b = 2
}
t = 4
if(t == 0) {
    e = 3
}
else {
    q = 0
}
END","[1, 1, 1, 0, 0]"
"for(int i=0; i<1; i++) {
    m = 1
}
w = 3
f = 1
h = 4
r = 4
if(r == 5) {
    p = 0
}
else if(r < 3) {
    b = 0
}
else {
    c = 4
}
b = 3
e = 5
END","[1, 0, 0]"
"w = 2
a = 1
u = 0
END",[]
"t = 2
o = 0
u = 0
if(u > 0) {
    g = 5
}
else if(u < 2) {
    z = 0
}
else if(u == 4) {
    v = 1
}
e = 1
END","[0, 1, 0]"
"for(int i=0; i<1; i++) {
    r = 0
}
for(int i=0; i<2; i++) {
    i = 2
}
m = 1
if(m <= 3) {
    h = 1
}
else if(m == 4) {
    a = 0
}
else {
    d = 2
}
n = 1
if(n == 5) {
    z = 5
}
else if(n < 3) {
    g = 1
}
o = 2
if(o < 5) {
    f = 2
}
else if(o > 4) {
    f = 5
}
END","[1, 1, 1, 0, 0, 1, 1, 0]"
"f = 5
e = 3
s = 2
v = 5
END",[]
"w = 4
q = 2
for(int i=0; i<0; i++) {
    b = 2
}
k = 1
if(k <= 2) {
    m = 0
}
for(int i=0; i<3; i++) {
    n = 2
}
END","[0, 1, 1]"
"n = 2
a = 1
m = 3
if(m > 2) {
    l = 4
}
else {
    z = 4
}
j = 1
if(j == 2) {
    q = 5
}
else {
    d = 2
}
z = 1
for(int i=0; i<2; i++) {
    f = 0
}
END","[1, 0, 1]"
"for(int i=0; i<2; i++) {
    g = 5
}
m = 0
if(m <= 0) {
    c = 4
}
else if(m < 0) {
    o = 3
}
else {
    i = 3
}
x = 3
if(x > 5) {
    z = 0
}
else if(x > 3) {
    j = 4
}
else if(x < 0) {
    x = 3
}
else {
    p = 4
}
x = 3
w = 1
l = 1
END","[1, 1, 0, 0, 0, 0]"
"s = 5
if(s <= 1) {
    z = 0
}
else if(s > 2) {
    i = 3
}
else if(s < 0) {
    x = 2
}
else {
    h = 4
}
j = 5
l = 2
t = 5
if(t == 5) {
    g = 3
}
else if(t == 1) {
    z = 5
}
else if(t > 4) {
    r = 0
}
else {
    w = 3
}
g = 3
p = 5
i = 2
END","[0, 1, 0, 1, 0, 1]"
"i = 4
e = 3
for(int i=0; i<3; i++) {
    w = 1
}
END",[1]
"u = 1
if(u >= 0) {
    k = 2
}
else if(u <= 2) {
    t = 4
}
else if(u >= 5) {
    x = 2
}
else {
    u = 2
}
for(int i=0; i<2; i++) {
    j = 4
}
for(int i=0; i<2; i++) {
    k = 4
}
for(int i=0; i<1; i++) {
    x = 5
}
END","[1, 1, 0, 1, 1, 1]"
"y = 5
z = 4
o = 3
END",[]
"a = 0
if(a > 2) {
    w = 5
}
else if(a > 1) {
    a = 3
}
for(int i=0; i<3; i++) {
    k = 3
}
h = 0
if(h < 1) {
    h = 3
}
else if(h == 4) {
    l = 0
}
for(int i=0; i<2; i++) {
    m = 5
}
k = 3
if(k > 3) {
    u = 0
}
else if(k == 5) {
    w = 2
}
else if(k == 0) {
    l = 0
}
else {
    w = 1
}
y = 0
n = 3
END","[0, 0, 1, 1, 0, 1, 0, 0, 0]"
"for(int i=0; i<2; i++) {
    i = 0
}
j = 5
i = 2
if(i >= 4) {
    l = 3
}
else if(i <= 1) {
    u = 0
}
else {
    y = 0
}
for(int i=0; i<2; i++) {
    o = 5
}
END","[1, 0, 0, 1]"
"j = 5
if(j <= 3) {
    a = 0
}
else if(j > 5) {
    q = 4
}
else if(j >= 2) {
    u = 2
}
s = 3
if(s <= 2) {
    r = 4
}
else if(s >= 3) {
    q = 3
}
else if(s >= 2) {
    z = 4
}
else {
    e = 3
}
r = 3
if(r == 0) {
    e = 3
}
else if(r > 1) {
    b = 3
}
else if(r >= 4) {
    n = 0
}
END","[0, 0, 1, 0, 1, 1, 0, 1, 0]"
"for(int i=0; i<2; i++) {
    t = 2
}
x = 3
if(x <= 4) {
    s = 3
}
for(int i=0; i<1; i++) {
    v = 3
}
for(int i=0; i<3; i++) {
    p = 3
}
for(int i=0; i<0; i++) {
    v = 3
}
END","[1, 1, 1, 1, 0]"
"e = 5
c = 1
if(c > 1) {
    f = 2
}
else {
    e = 4
}
u = 0
if(u <= 5) {
    b = 0
}
else if(u <= 0) {
    z = 1
}
END","[0, 1, 1]"
"l = 2
if(l <= 1) {
    a = 2
}
else if(l == 3) {
    p = 4
}
else if(l == 2) {
    c = 2
}
g = 3
if(g <= 5) {
    c = 1
}
else if(g >= 2) {
    b = 5
}
else if(g < 0) {
    r = 4
}
b = 1
END","[0, 0, 1, 1, 1, 0]"
"q = 5
for(int i=0; i<2; i++) {
    q = 5
}
k = 2
p = 3
p = 0
END",[1]
